"행정구역","2014년12월_남자 평균연령","2014년12월_여자 평균연령","2014년12월_평균연령"
"서울특별시 강서구 화곡제4동(1150057000)","39.6","41.7","40.6"
"서울특별시 강서구 화곡본동(1150059000)","37.5","39.3","38.4"
"서울특별시 강서구 화곡제6동(1150059100)","38.7","40.6","39.7"
"서울특별시 강서구 화곡제8동(1150059300)","39.1","40.7","39.9"
"서울특별시 강서구 가양제1동(1150060300)","37.4","39","38.2"
"서울특별시 강서구 가양제2동(1150060400)","43.1","47","45.1"
"서울특별시 강서구 가양제3동(1150060500)","40.6","44.3","42.5"
"서울특별시 강서구 발산제1동(1150061100)","35.5","36.9","36.2"
"서울특별시 강서구 우장산동(1150061500)","37.2","38","37.6"
"서울특별시 강서구 공항동(1150062000)","40.4","41.9","41.1"
"서울특별시 강서구 방화제1동(1150063000)","37.7","39.3","38.5"
"서울특별시 강서구 방화제2동(1150064000)","41.1","43.3","42.2"
"서울특별시 강서구 방화제3동(1150064100)","40.4","42.8","41.7"
"서울특별시 구로구 (1153000000)","39.3","40.7","40"
"서울특별시 구로구 신도림동(1153051000)","37.1","37.9","37.5"
"서울특별시 구로구 구로제1동(1153052000)","36","37.9","37"
"서울특별시 구로구 구로제2동(1153053000)","42.4","44.2","43.3"
"서울특별시 구로구 구로제3동(1153054000)","37.5","38.4","37.9"
"서울특별시 구로구 구로제4동(1153055000)","40.6","42.7","41.7"
"서울특별시 구로구 구로제5동(1153056000)","39.2","39.8","39.5"
"서울특별시 구로구 가리봉동(1153059500)","45.4","47.1","46.2"
"서울특별시 구로구 고척제1동(1153072000)","39.5","41.3","40.4"
"서울특별시 구로구 고척제2동(1153073000)","39.2","40.5","39.9"
"서울특별시 구로구 개봉제1동(1153074000)","40.5","41.8","41.1"
"서울특별시 구로구 개봉제2동(1153075000)","39.8","41.2","40.5"
"서울특별시 구로구 개봉제3동(1153076000)","39.5","41.6","40.5"
"서울특별시 구로구 오류제1동(1153077000)","40.3","41.4","40.8"
"서울특별시 구로구 오류제2동(1153078000)","37.5","39.1","38.3"
"서울특별시 구로구 수궁동(1153079000)","38.6","41","39.8"
"서울특별시 금천구 (1154500000)","40.3","42","41.1"
"서울특별시 금천구 가산동(1154551000)","40.4","40.7","40.5"
"서울특별시 금천구 독산제1동(1154561000)","39.3","41.3","40.2"
"서울특별시 금천구 독산제2동(1154562000)","40.4","42","41.1"
"서울특별시 금천구 독산제3동(1154563000)","41.6","43","42.3"
"서울특별시 금천구 독산제4동(1154564000)","41","41.9","41.4"
"서울특별시 금천구 시흥제1동(1154567000)","40","41.8","40.9"
"서울특별시 금천구 시흥제2동(1154568000)","39","40.8","39.9"
"서울특별시 금천구 시흥제3동(1154569000)","41.5","42.9","42.2"
"서울특별시 금천구 시흥제4동(1154570000)","40.3","42","41.2"
"서울특별시 금천구 시흥제5동(1154571000)","41","43.5","42.3"
"서울특별시 영등포구 (1156000000)","40.1","41.6","40.8"
"서울특별시 영등포구 영등포본동(1156051500)","40.3","41.8","41"
"서울특별시 영등포구 영등포동(1156053500)","43.3","41.9","42.7"
"서울특별시 영등포구 여의동(1156054000)","40.1","41.7","40.9"
"서울특별시 영등포구 당산제1동(1156055000)","40.7","41.9","41.3"
"서울특별시 영등포구 당산제2동(1156056000)","38.3","39","38.7"
"서울특별시 영등포구 도림동(1156058500)","40.4","41.7","41"
"서울특별시 영등포구 문래동(1156060500)","38.2","39.1","38.6"
"서울특별시 영등포구 양평제1동(1156061000)","38.7","40.5","39.6"
"서울특별시 영등포구 양평제2동(1156062000)","37.5","38.2","37.9"
"서울특별시 영등포구 신길제1동(1156063000)","41.4","43.9","42.6"
"서울특별시 영등포구 신길제3동(1156065000)","41.2","43.6","42.4"
"서울특별시 영등포구 신길제4동(1156066000)","42.1","44.8","43.4"
"서울특별시 영등포구 신길제5동(1156067000)","42","44","43"
"서울특별시 영등포구 신길제6동(1156068000)","40.2","42.4","41.3"
"서울특별시 영등포구 신길제7동(1156069000)","37.7","39.7","38.7"
"서울특별시 영등포구 대림제1동(1156070000)","41.5","44.2","42.9"
"서울특별시 영등포구 대림제2동(1156071000)","42.7","44.7","43.7"
"서울특별시 영등포구 대림제3동(1156072000)","40","41.6","40.8"
"서울특별시 동작구 (1159000000)","39.3","41.3","40.3"
"서울특별시 동작구 노량진제1동(1159051000)","39.5","42.2","40.9"
"서울특별시 동작구 노량진제2동(1159052000)","41.9","44.5","43.2"
"서울특별시 동작구 상도제1동(1159053000)","37.7","39.8","38.8"
