"행정구역","2015년12월_전체세대","2015년12월_1인세대","2015년12월_2인세대","2015년12월_3인세대","2015년12월_4인세대","2015년12월_5인세대","2015년12월_6인세대","2015년12월_7인세대","2015년12월_8인세대","2015년12월_9인세대","2015년12월_10인세대"
"강원도 고성군 (4282000000)","15,324","7,925","3,332","1,921","1,373","539","162","48","12","10","2"
"강원도 양양군 (4283000000)","13,374","6,101","3,396","1,900","1,296","473","148","43","12","2","3"
"충청북도  (4300000000)","669,503","248,297","151,086","113,092","110,679","34,965","8,519","2,072","481","148","164"
"충청북도 청주시 (4311000000)","336,408","116,614","67,562","61,287","66,225","19,332","4,129","950","207","58","44"
"충청북도 충주시 (4313000000)","87,463","31,152","20,990","15,086","14,179","4,477","1,179","284","72","23","21"
"충청북도 제천시 (4315000000)","59,856","22,842","15,003","9,839","8,497","2,770","694","155","33","5","18"
"충청북도 보은군 (4372000000)","16,147","6,830","4,628","2,181","1,460","702","244","68","19","7","8"
"충청북도 옥천군 (4373000000)","22,967","8,717","6,390","3,465","2,773","1,114","354","103","30","11","10"
"충청북도 영동군 (4374000000)","23,586","9,984","6,384","3,243","2,385","1,078","378","99","17","8","10"
"충청북도 증평군 (4374500000)","15,790","6,039","3,622","2,603","2,390","880","192","50","9","5","0"
"충청북도 진천군 (4375000000)","29,750","11,933","6,758","4,649","4,300","1,570","407","88","26","8","11"
"충청북도 괴산군 (4376000000)","19,620","9,208","5,580","2,435","1,454","593","234","71","22","8","15"
"충청북도 음성군 (4377000000)","43,279","18,646","10,163","6,257","5,569","1,901","527","154","34","10","18"
"충청북도 단양군 (4380000000)","14,637","6,332","4,006","2,047","1,447","548","181","50","12","5","9"
"충청남도  (4400000000)","885,968","336,702","200,595","143,817","142,300","46,450","11,648","3,166","815","244","231"
"충청남도 천안시 (4413000000)","247,695","91,616","44,926","43,441","50,149","13,807","2,759","721","182","53","41"
"충청남도 공주시 (4415000000)","48,632","19,202","12,013","7,650","6,206","2,456","798","200","63","21","23"
"충청남도 보령시 (4418000000)","46,739","18,419","12,183","7,196","5,891","2,176","622","181","42","19","10"
"충청남도 아산시 (4420000000)","122,131","44,754","23,936","20,902","23,468","7,014","1,532","361","107","27","30"
"충청남도 서산시 (4421000000)","69,993","24,130","16,316","12,123","12,192","3,908","964","263","64","22","11"
"충청남도 논산시 (4423000000)","56,095","23,183","14,174","8,332","6,634","2,700","787","193","52","15","25"
"충청남도 계룡시 (4425000000)","14,397","3,241","2,731","2,809","3,988","1,276","261","61","14","8","8"
"충청남도 당진시 (4427000000)","72,074","28,791","16,191","11,279","10,824","3,653","988","254","65","17","12"
"충청남도 금산군 (4471000000)","25,154","10,329","6,960","3,497","2,697","1,181","336","97","30","9","18"
"충청남도 부여군 (4476000000)","32,733","13,308","9,413","4,490","3,264","1,536","485","176","42","8","11"
"충청남도 서천군 (4477000000)","26,622","10,840","7,918","3,701","2,552","1,117","333","107","34","8","12"
"충청남도 청양군 (4479000000)","15,226","6,373","4,447","1,982","1,377","676","248","99","16","6","2"
"충청남도 홍성군 (4480000000)","41,008","15,293","10,638","6,483","5,634","2,116","598","188","38","12","8"
"충청남도 예산군 (4481000000)","37,488","14,662","10,369","5,633","4,289","1,733","566","165","44","13","14"
"충청남도 태안군 (4482500000)","29,981","12,561","8,380","4,299","3,135","1,101","371","100","22","6","6"
"전라북도  (4500000000)","782,986","285,244","183,391","129,996","121,744","45,983","12,036","3,120","845","306","321"
"전라북도 전주시 (4511000000)","254,710","80,845","53,254","47,640","50,349","17,491","3,950","863","200","65","53"
"전라북도 군산시 (4513000000)","114,382","39,780","25,951","20,358","19,462","6,557","1,672","410","100","39","53"
"전라북도 익산시 (4514000000)","122,857","42,095","28,252","21,550","20,828","7,573","1,907","438","126","39","49"
"전라북도 정읍시 (4518000000)","52,203","21,233","13,413","7,725","6,105","2,703","745","200","56","9","14"
"전라북도 남원시 (4519000000)","37,213","14,552","9,649","5,542","4,590","2,029","581","192","42","17","19"
"전라북도 김제시 (4521000000)","41,438","17,917","10,923","5,741","4,042","1,917","612","194","49","16","27"
"전라북도 완주군 (4571000000)","40,750","15,690","9,642","6,428","5,649","2,356","678","206","46","27","28"
"전라북도 진안군 (4572000000)","12,571","5,748","3,374","1,539","1,063","524","208","69","23","12","11"
"전라북도 무주군 (4573000000)","11,821","5,092","3,296","1,475","1,148","528","193","55","19","8","7"
"전라북도 장수군 (4574000000)","10,909","4,749","2,970","1,425","950","538","192","55","14","10","6"
"전라북도 임실군 (4575000000)","14,269","6,343","3,844","1,779","1,309","618","224","88","38","13","13"
"전라북도 순창군 (4577000000)","13,784","5,782","3,881","1,767","1,211","667","280","114","52","13","17"
"전라북도 고창군 (4579000000)","28,671","13,032","7,691","3,468","2,525","1,271","453","138","50","25","18"
"전라북도 부안군 (4580000000)","27,408","12,386","7,251","3,559","2,513","1,211","341","98","30","13","6"
"전라남도  (4600000000)","833,901","331,561","199,679","125,963","113,655","45,415","12,394","3,515","1,047","345","327"
"전라남도 목포시 (4611000000)","100,172","37,415","21,593","17,184","16,386","5,896","1,292","289","73","23","21"
"전라남도 여수시 (4613000000)","117,602","39,518","27,351","20,614","20,169","7,448","1,826","495","120","39","22"
"전라남도 순천시 (4615000000)","107,871","33,296","23,182","19,770","21,787","7,581","1,705","397","102","29","22"
"전라남도 나주시 (4617000000)","46,444","21,599","10,737","6,313","4,856","2,017","642","175","60","20","25"
"전라남도 광양시 (4623000000)","59,789","19,475","11,970","10,689","12,314","4,083","881","244","76","32","25"
"전라남도 담양군 (4671000000)","21,953","9,722","5,581","2,947","2,142","1,036","359","99","39","12","16"
"전라남도 곡성군 (4672000000)","14,994","7,117","3,861","1,786","1,273","643","207","72","20","7","8"
"전라남도 구례군 (4673000000)","12,672","5,508","3,393","1,651","1,149","613","230","79","36","6","7"
"전라남도 고흥군 (4677000000)","34,583","15,928","10,264","4,078","2,492","1,241","401","134","24","14","7"
"전라남도 보성군 (4678000000)","22,384","10,553","6,017","2,699","1,689","928","330","106","41","13","8"
"전라남도 화순군 (4679000000)","29,405","12,206","7,083","4,253","3,661","1,556","443","145","37","10","11"
"전라남도 장흥군 (4680000000)","20,890","9,882","5,411","2,360","1,699","928","347","128","63","25","47"
"전라남도 강진군 (4681000000)","18,577","8,501","4,955","2,236","1,597","838","289","105","33","11","12"
"전라남도 해남군 (4682000000)","35,354","15,480","9,305","4,571","3,401","1,755","570","174","59","22","17"
"전라남도 영암군 (4683000000)","27,242","12,317","6,503","3,604","2,994","1,292","368","115","34","7","8"
"전라남도 무안군 (4684000000)","35,086","13,587","8,317","5,445","4,884","2,070","569","137","48","18","11"
"전라남도 함평군 (4686000000)","17,547","8,663","4,595","1,919","1,314","646","280","87","24","9","10"
"전라남도 영광군 (4687000000)","26,070","11,301","6,840","3,441","2,651","1,248","397","131","32","6","23"
"전라남도 장성군 (4688000000)","21,529","9,413","5,492","2,912","2,178","1,016","331","132","30","15","10"
"전라남도 완도군 (4689000000)","25,535","11,366","7,114","3,130","2,305","1,130","342","105","30","10","3"
